Data Point,Date,Simple Date,Outdoor Temperature (�F),Feels Like (°F),Dew Point (°F),Wind Speed (mph),Wind Gust (mph),Max Daily Gust (mph),Wind Direction (°),Hourly Rain (in/hr),Event Rain (in),Daily Rain (in),Weekly Rain (in),Monthly Rain (in),Total Rain (in),Relative Pressure (inHg),Humidity (%),Ultra-Violet Radiation Index,Solar Radiation (W/m^2),Indoor Temperature (°F),Indoor Humidity (%),Greenhouse  Temperature (°F),Greenhouse  Humidity (%),Office Temperature (°F),Office Humidity (%),Garage Temperature (°F),Garage Humidity (%),Basement Temperature (°F),Basement Humidity (%),Sensor 5 Temperature (°F),Absolute Pressure (inHg),Outdoor Battery,Greenhouse  Battery,Office Battery,Garage Battery,Sensor 5 Battery,CO2 battery,Greenhouse  Feels Like (°F),Greenhouse  Dew Point (°F),Office Feels Like (°F),Office Dew Point (°F),Garage Feels Like (°F),Garage Dew Point (°F),Indoor Feels Like (°F),Indoor Dew Point (°F),Basement Battery,Basement Feels Like (°F),Basement Dew Point (°F)
1,2023-06-11T00:00:00-04:00,6/11/2023 0:00,68.2,67.2,50.4,0,0,0,50,0,0,0,0,0.02,105.91,30.21,53,0,0,65.7,42,67.8,51,74.1,36,74.8,41,,,64,28.9,1,1,1,1,1,1,67.8,49,72.9,45.4,73.9,49.5,65.7,42,,,
2,2023-06-11T00:05:00-04:00,6/11/2023 0:05,68,68,50.2,0,0,1.1,51,0,0,0,0,0.02,105.91,30.2,53,0,0,65.8,42,67.8,51,74.3,36,74.7,41,63.3,50,64,28.9,1,1,1,1,1,1,67.8,49,73.1,45.6,73.8,49.4,65.8,42.1,1,63.3,44.3
3,2023-06-11T00:10:00-04:00,6/11/2023 0:10,67.8,67.8,50.5,0,0,1.1,51,0,0,0,0,0.02,105.91,30.2,54,0,0,66,42,67.6,51,74.1,36,74.7,42,63.3,50,64,28.89,1,1,1,1,1,1,67.6,48.8,72.9,45.4,73.8,50.1,66,42.2,1,63.3,44.3
4,2023-06-11T00:15:00-04:00,6/11/2023 0:15,67.6,67.6,50.4,0,0,1.1,52,0,0,0,0,0.02,105.91,30.2,54,0,0,66.2,42,67.5,51,74.1,36,74.7,42,63.3,50,64,28.89,1,1,1,1,1,1,67.5,48.7,72.9,45.4,73.8,50.1,66.2,42.4,1,63.3,44.3
5,2023-06-11T00:20:00-04:00,6/11/2023 0:20,67.1,67.1,50.4,0,0,1.1,52,0,0,0,0,0.02,105.91,30.2,55,0,0,66.4,42,67.5,51,74.1,36,74.7,42,63.3,50,64,28.89,1,1,1,1,1,1,67.5,48.7,72.9,45.4,73.8,50.1,66.4,42.6,1,63.3,44.3
6,2023-06-11T00:25:00-04:00,6/11/2023 0:25,67.1,67.1,50.4,0.7,1.1,1.1,56,0,0,0,0,0.02,105.91,30.2,55,0,0,66.4,42,67.3,52,74.1,36,74.5,42,63.3,50,64,28.89,1,1,1,1,1,1,67.3,49.1,72.9,45.4,73.6,49.9,66.4,42.6,1,63.3,44.3
7,2023-06-11T00:30:00-04:00,6/11/2023 0:30,67.8,67.8,51,0.2,1.1,3.4,50,0,0,0,0,0.02,105.91,30.19,55,0,0,66.4,42,67.3,51,74.1,36,74.7,42,63.3,50,64,28.88,1,1,1,1,1,1,67.3,48.5,72.9,45.4,73.8,50.1,66.4,42.6,1,63.3,44.3
8,2023-06-11T00:35:00-04:00,6/11/2023 0:35,68,68,51.2,1.8,2.2,3.4,84,0,0,0,0,0.02,105.91,30.2,55,0,0,66.6,42,67.1,52,74.1,36,74.7,42,63.3,50,64,28.9,1,1,1,1,1,1,67.1,48.9,72.9,45.4,73.8,50.1,66.6,42.8,1,63.3,44.3
9,2023-06-11T00:40:00-04:00,6/11/2023 0:40,67.8,67.8,51,0.7,1.1,3.4,45,0,0,0,0,0.02,105.91,30.2,55,0,0,66.6,42,67.1,51,74.1,36,74.7,42,63.3,50,64,28.89,1,1,1,1,1,1,67.1,48.4,72.9,45.4,73.8,50.1,66.6,42.8,1,63.3,44.3
10,2023-06-11T00:45:00-04:00,6/11/2023 0:45,67.5,67.5,51.2,0.7,1.1,3.4,37,0,0,0,0,0.02,105.91,30.2,56,0,0,66.6,42,66.9,51,73.9,36,74.7,41,63.3,50,64.2,28.89,1,1,1,1,1,1,66.9,48.2,72.7,45.2,73.8,49.4,66.6,42.8,1,63.3,44.3
11,2023-06-11T00:50:00-04:00,6/11/2023 0:50,67.8,67.8,51,1.6,2.2,3.4,356,0,0,0,0,0.02,105.91,30.2,55,0,0,66.7,42,66.9,51,73.9,36,74.5,41,63.3,50,64.2,28.9,1,1,1,1,1,1,66.9,48.2,72.7,45.2,73.6,49.2,66.7,42.9,1,63.3,44.3
